id_inst,nm_inst
95457486,"University of California, Berkeley"
20888794,Liquid Crystal Institute
153648349,University of Leicester
146655781,University of Liverpool
154526488,French Institute of Health and Medical Research
141596103,University of Lisbon
40978471,Rappaport Faculty of Medicine
150229711,University of Electronic Science and Technology of China
2250650973,Samsung
197907453,Akdeniz University
1174212,University of Southern California
93477617,Huizhou University
1321296531,National Institute of Standards and Technology
1297011914,Gulf Coast Regional Blood Center
40963666,Central China Normal University
2699952,Pontifical Catholic University of Rio de Janeiro
37696226,University of Maribor
165143802,University of Queensland
39555362,University of Warwick
110120368,ENEA
72816309,Drexel University
116578957,Goddard Institute for Space Studies
99464096,Katholieke Universiteit Leuven
52170813,Ariel University
200284239,University of Santiago de Compostela
75900474,Hubei University
175003984,Office of Naval Research
35046152,Federal University of Rio Grande do Norte
2800939219,RIKEN Brain Science Institute
91045830,Texas A&M University
14243506,Hong Kong Polytechnic University
122411786,California Institute of Technology
1309191912,Research Triangle Park
204730241,University of Paris
88060688,Technical University of Madrid
1323861001,Conrad Hotels
158937107,Swiss Tropical and Public Health Institute
129604602,University of Sydney
76569877,Southeast University
1318287680,Center for Biologics Evaluation and Research
126520041,University of Science and Technology of China
2799810450,Sheba Medical Center
66958751,Woods Hole Oceanographic Institution
84218800,"University of California, Davis"
75951250,Free University of Berlin
200332995,Technical University of Dortmund
197191942,St. Francis Xavier University
75354592,Federal Trade Commission
25846049,National Tsing Hua University
157536573,Pasteur Institute
55143463,University of Turin
165390105,University of South Africa
16835326,University of St Andrews
168635309,University of Calgary
154347574,University of Rijeka
31512782,Technische Universität Darmstadt
190082696,Durham University
197604219,National Research Council
255234318,University of Zaragoza
133999245,"University of Nevada, Las Vegas"
146399215,University of Tsukuba
148518341,The Cyprus Institute
920791158,American Hotel & Lodging Educational Institute
187531555,Lund University
198945027,Central European University
188538660,University of Colorado Boulder
111979921,Northwestern University
232641801,Torcuato di Tella University
112862951,University of Messina
84392919,Temple University
